epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3839.78,1.55746,0.8327,1.33318,0.91367,0.89368,0.95145,0.55363,1.50476,0.6738,1.35471,0.005776,0.005776,0.005776
66,3898.57,1.54616,0.82966,1.32762,0.91721,0.89847,0.95559,0.55313,1.50315,0.67384,1.35155,0.00571,0.00571,0.00571
67,3958.12,1.54786,0.82094,1.33302,0.91881,0.90661,0.95476,0.55594,1.4991,0.66273,1.35634,0.005644,0.005644,0.005644
68,4017.89,1.54048,0.80397,1.32811,0.92894,0.89943,0.95785,0.55842,1.49694,0.65544,1.35918,0.005578,0.005578,0.005578
69,4078.6,1.54915,0.8058,1.32704,0.92201,0.90596,0.95537,0.55932,1.49992,0.65223,1.35916,0.005512,0.005512,0.005512
70,4139.62,1.53979,0.81153,1.32986,0.92708,0.89505,0.95413,0.56231,1.49719,0.65439,1.35674,0.005446,0.005446,0.005446
71,4199.81,1.54109,0.81218,1.32463,0.91851,0.90661,0.95516,0.56269,1.49113,0.65951,1.34617,0.00538,0.00538,0.00538
72,4260.66,1.54035,0.82067,1.32668,0.92738,0.90524,0.95601,0.56249,1.49785,0.6543,1.35808,0.005314,0.005314,0.005314
73,4320.09,1.52477,0.80044,1.31907,0.93169,0.90038,0.95685,0.56219,1.49965,0.65002,1.35921,0.005248,0.005248,0.005248
74,4380.37,1.52432,0.79261,1.31637,0.92536,0.90661,0.95635,0.56349,1.49262,0.64528,1.35349,0.005182,0.005182,0.005182
75,4441.53,1.52614,0.79065,1.31402,0.93791,0.90374,0.95951,0.5659,1.49086,0.64401,1.35011,0.005116,0.005116,0.005116
76,4501.64,1.5173,0.79114,1.318,0.93131,0.90709,0.9594,0.56387,1.48597,0.64356,1.34843,0.00505,0.00505,0.00505
77,4562.74,1.50714,0.76836,1.30494,0.92931,0.90031,0.95817,0.56547,1.48448,0.63564,1.34557,0.004984,0.004984,0.004984
78,4623.98,1.52595,0.78717,1.31206,0.9306,0.90469,0.96193,0.5681,1.48432,0.6352,1.34471,0.004918,0.004918,0.004918
79,4683.06,1.51006,0.7792,1.30887,0.93382,0.90561,0.96151,0.56942,1.48499,0.63207,1.34318,0.004852,0.004852,0.004852
80,4741.55,1.51612,0.78148,1.30709,0.92725,0.90757,0.95905,0.57042,1.48048,0.63121,1.33994,0.004786,0.004786,0.004786
81,4799.76,1.52514,0.77684,1.30979,0.93156,0.91264,0.96237,0.574,1.47375,0.62443,1.33257,0.00472,0.00472,0.00472
82,4857.86,1.50971,0.77842,1.30212,0.93395,0.90996,0.96294,0.57329,1.47347,0.62292,1.33337,0.004654,0.004654,0.004654
83,4917.05,1.51416,0.77376,1.30922,0.91519,0.92672,0.96222,0.57531,1.47124,0.62072,1.33186,0.004588,0.004588,0.004588
84,4975.28,1.50585,0.76279,1.30178,0.93382,0.9114,0.96367,0.57559,1.46631,0.62004,1.3288,0.004522,0.004522,0.004522
85,5033.86,1.51382,0.77479,1.30341,0.94175,0.91368,0.96474,0.57494,1.46736,0.61792,1.327,0.004456,0.004456,0.004456
86,5092.63,1.50341,0.75875,1.29546,0.93512,0.91044,0.96514,0.57713,1.46751,0.61766,1.32456,0.00439,0.00439,0.00439
87,5151.8,1.51258,0.77053,1.30947,0.93297,0.9114,0.96466,0.57815,1.46378,0.61532,1.32511,0.004324,0.004324,0.004324
88,5210.51,1.50013,0.75308,1.30254,0.93513,0.91821,0.966,0.57833,1.46298,0.61026,1.32813,0.004258,0.004258,0.004258
89,5269.57,1.48864,0.74945,1.28864,0.93677,0.91619,0.96423,0.57793,1.46102,0.6095,1.32309,0.004192,0.004192,0.004192
90,5328.18,1.50055,0.76413,1.29493,0.9372,0.9205,0.96543,0.57745,1.4589,0.60817,1.31922,0.004126,0.004126,0.004126
91,5386.8,1.4954,0.75348,1.3009,0.93224,0.92002,0.96513,0.57735,1.45944,0.60602,1.32071,0.00406,0.00406,0.00406
92,5445.37,1.49262,0.75595,1.29495,0.93533,0.92119,0.96466,0.57706,1.46235,0.60622,1.3232,0.003994,0.003994,0.003994
93,5506.53,1.48827,0.74346,1.28608,0.9327,0.92098,0.96473,0.57861,1.46094,0.6066,1.32273,0.003928,0.003928,0.003928
94,5567.49,1.48926,0.74755,1.28117,0.94203,0.91843,0.96691,0.58004,1.45803,0.60381,1.31941,0.003862,0.003862,0.003862
95,5626.79,1.47881,0.73608,1.28531,0.94109,0.91806,0.96675,0.57959,1.45596,0.6013,1.31839,0.003796,0.003796,0.003796
96,5684.74,1.4784,0.73511,1.28385,0.94616,0.9181,0.96841,0.58253,1.45598,0.60018,1.3179,0.00373,0.00373,0.00373
97,5743.86,1.48397,0.7294,1.29185,0.93779,0.92241,0.96847,0.58418,1.45653,0.59902,1.31997,0.003664,0.003664,0.003664
98,5801.67,1.47785,0.73853,1.28145,0.93832,0.92523,0.96891,0.58286,1.45642,0.59742,1.3194,0.003598,0.003598,0.003598
99,5859.99,1.46991,0.73094,1.27752,0.93742,0.92912,0.96891,0.58164,1.45455,0.59477,1.3172,0.003532,0.003532,0.003532
100,5917.93,1.47207,0.73022,1.2759,0.94361,0.92337,0.96943,0.58329,1.45601,0.59313,1.31745,0.003466,0.003466,0.003466
101,5976.59,1.46626,0.72604,1.26748,0.94236,0.92391,0.96996,0.58383,1.45527,0.59092,1.31495,0.0034,0.0034,0.0034
102,6035.81,1.45939,0.72358,1.26905,0.94318,0.92241,0.97022,0.58432,1.45451,0.59094,1.31435,0.003334,0.003334,0.003334
103,6095.81,1.46113,0.71818,1.27051,0.94314,0.92193,0.96987,0.58421,1.45347,0.58931,1.31382,0.003268,0.003268,0.003268
104,6155.2,1.45294,0.71061,1.26612,0.94168,0.92672,0.97023,0.58379,1.45389,0.58779,1.31342,0.003202,0.003202,0.003202
105,6213.74,1.45761,0.71136,1.27353,0.93984,0.9272,0.9705,0.58516,1.45507,0.58632,1.31379,0.003136,0.003136,0.003136
106,6271.71,1.4449,0.70232,1.26641,0.94348,0.92733,0.97138,0.58587,1.45424,0.58512,1.3131,0.00307,0.00307,0.00307
107,6330.74,1.44315,0.69907,1.26331,0.94617,0.9272,0.97137,0.58571,1.45215,0.58368,1.3124,0.003004,0.003004,0.003004
108,6388.74,1.44652,0.70103,1.26179,0.94666,0.9272,0.97163,0.58729,1.44987,0.58217,1.31108,0.002938,0.002938,0.002938
109,6449.31,1.43549,0.69509,1.25985,0.9468,0.92529,0.97082,0.58837,1.44916,0.57961,1.31024,0.002872,0.002872,0.002872
110,6509.83,1.44913,0.69903,1.26485,0.94608,0.92441,0.97107,0.58823,1.4474,0.57887,1.30883,0.002806,0.002806,0.002806
111,6569.18,1.44735,0.69584,1.25815,0.94554,0.92481,0.97172,0.58893,1.44655,0.57758,1.30733,0.00274,0.00274,0.00274
112,6626.78,1.44691,0.70279,1.25891,0.94567,0.92534,0.97227,0.58908,1.44474,0.57575,1.30556,0.002674,0.002674,0.002674
113,6684.9,1.43809,0.69409,1.25221,0.95041,0.92385,0.97179,0.59002,1.44355,0.5751,1.304,0.002608,0.002608,0.002608
114,6742.92,1.44102,0.68888,1.25985,0.94886,0.92419,0.97169,0.59149,1.44331,0.57328,1.30414,0.002542,0.002542,0.002542
115,6800.03,1.4433,0.69049,1.26281,0.94708,0.92577,0.97169,0.5917,1.44109,0.57265,1.30283,0.002476,0.002476,0.002476
116,6857.47,1.43512,0.67748,1.25904,0.9498,0.92432,0.97169,0.59187,1.44091,0.57109,1.30243,0.00241,0.00241,0.00241
117,6915.69,1.42555,0.67443,1.24727,0.95034,0.92625,0.97195,0.59219,1.43981,0.57049,1.30152,0.002344,0.002344,0.002344
118,6974.23,1.4292,0.68538,1.25212,0.94985,0.92529,0.97195,0.59304,1.43983,0.56922,1.30149,0.002278,0.002278,0.002278
119,7032.88,1.42736,0.67643,1.24366,0.9449,0.92809,0.97188,0.59282,1.43805,0.56725,1.30078,0.002212,0.002212,0.002212
120,7091.59,1.42652,0.67527,1.24593,0.94462,0.93124,0.97239,0.59294,1.43767,0.56664,1.30073,0.002146,0.002146,0.002146
