epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,5089.12,1.36923,0.61292,1.14017,0.96437,0.95594,0.97889,0.61701,1.40453,0.49557,1.19323,0.005644,0.005644,0.005644
68,5162.83,1.3544,0.60785,1.13274,0.96795,0.95211,0.98178,0.61897,1.40129,0.49029,1.18786,0.005578,0.005578,0.005578
69,5231.66,1.36223,0.60898,1.1317,0.96673,0.96036,0.98057,0.61525,1.39984,0.48606,1.1856,0.005512,0.005512,0.005512
70,5300.42,1.35806,0.60798,1.13644,0.97004,0.95498,0.98267,0.61903,1.39322,0.4862,1.18318,0.005446,0.005446,0.005446
71,5371.8,1.35146,0.60357,1.13331,0.97064,0.95833,0.98373,0.62501,1.39595,0.48672,1.18631,0.00538,0.00538,0.00538
72,5442.35,1.35607,0.60526,1.13201,0.96813,0.96022,0.98387,0.6199,1.39846,0.4838,1.18723,0.005314,0.005314,0.005314
73,5512.24,1.34199,0.59937,1.12397,0.96317,0.95881,0.98375,0.6239,1.39128,0.48533,1.18165,0.005248,0.005248,0.005248
74,5582.37,1.34348,0.59255,1.12768,0.97,0.96022,0.98298,0.62213,1.38978,0.48178,1.18094,0.005182,0.005182,0.005182
75,5652.28,1.3374,0.59342,1.12761,0.97408,0.95929,0.98422,0.62614,1.38932,0.48003,1.17643,0.005116,0.005116,0.005116
76,5723.58,1.33088,0.58982,1.1224,0.96824,0.96376,0.98273,0.62773,1.38791,0.47636,1.1758,0.00505,0.00505,0.00505
77,5794.15,1.32398,0.58282,1.11477,0.97153,0.96439,0.9832,0.62697,1.38835,0.47498,1.17522,0.004984,0.004984,0.004984
78,5864.04,1.33809,0.59056,1.11955,0.97162,0.96743,0.98368,0.62013,1.38943,0.47423,1.17728,0.004918,0.004918,0.004918
79,5934.1,1.32965,0.5852,1.124,0.97257,0.96312,0.98402,0.62668,1.38698,0.47307,1.17671,0.004852,0.004852,0.004852
80,6001.96,1.33208,0.58686,1.1139,0.97142,0.96041,0.98499,0.62982,1.38585,0.47039,1.17382,0.004786,0.004786,0.004786
81,6071.63,1.33648,0.5884,1.11966,0.9721,0.96786,0.98575,0.63086,1.38336,0.47162,1.1706,0.00472,0.00472,0.00472
82,6142.03,1.32702,0.5834,1.11623,0.96829,0.96508,0.98577,0.63397,1.3804,0.47051,1.17013,0.004654,0.004654,0.004654
83,6210.64,1.32302,0.57871,1.11619,0.96983,0.96552,0.98639,0.63532,1.37866,0.4699,1.16933,0.004588,0.004588,0.004588
